IDESTACION,DENOMINACION,X,Y,LINEAS,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS
6_1780,DR.ESQUERDO-AV.NAZARET,443294.0,4473816.0,"56, 143, 156",2,3
6_1786,MARTINEZ DE LA RIVA-GARCIA MIRANDA,443774.0,4470770.0,57,2,3
6_1792,AV.PQUE.PALOMERAS BAJAS-ROMEO Y JULIETA,443917.0,4470379.0,"57, 144",2,3
6_1798,RAFAEL ALBERTI-AV.ALBUFERA,445736.0,4471126.0,"144, N10",2,3
6_1808,ENRIQUE Gª ALVAREZ-SIERRA GORDA,447932.0,4470558.0,58,2,3
6_1815,AV.STA.EUGENIA Nº 35,448105.0,4470752.0,58,2,3
6_1819,PZA.JUAN DE MALASAÑA,447387.0,4470330.0,"54, 58, 103, 142",2,3
6_1821,MONTES DE BARBANZA-SIERRA DEL EJE,447544.0,4470087.0,"54, 103, 142, N9",2,3
6_1839,TOLEDO-LA PALOMA,439750.0,4473441.0,"2, 17, 18, 23, 35, 60",2,3
6_1840,EMBAJADORES-GTA.EMBAJADORES,440524.0,4473086.0,"60, 148, N17",2,3
6_1848,DIEGO DE LEON-VELAZQUEZ,442095.0,4476478.0,61,2,3
6_1854,CONDE DE PEÑALVER-MALDONADO,442846.0,4476325.0,210,2,3
6_1868,AV. COMPLUTENSE-PZA.CARDENAL CISNEROS,438476.0,4477109.0,"82, 132, G, N20, U",2,3
6_1875,EL BOSCO-PIO FELIPE,445166.0,4472316.0,"63, N9",2,3
6_1880,AV.STA.EUGENIA-U.V.A.VALLECAS,448289.0,4470564.0,"63, 145, N9",2,3
6_1885,AV.MEDITERRANEO-PUENTELARRA,448704.0,4470840.0,"63, 145, N9",2,3
6_1900,FCOS.RODRIGUEZ-NUMANCIA,439965.0,4478941.0,"64, 126, 128",2,3
6_1909,ISLAS ALEUTIANAS-JOAQUIN LORENZO,438289.0,4480943.0,"64, N20",2,3
6_5767,Pº DELICIAS-PZA.LUCA DE TENA,441249.0,4472868.0,E1,1,0
6_5770,CEMENTERIO SUR-SECCION 6-F,437756.0,4469049.0,SE702,1,0
6_5771,CEMENTERIO SUR-SECCION 19-A,438100.0,4469048.0,SE702,1,0
6_5772,CEMENTERIO SUR-SECCION 19-G,438077.0,4469102.0,SE702,1,0
6_5238,DEYANIRA-EUTERPE,449840.0,4477365.0,"77, N5",2,3
6_5328,AV.FALJUL-BLAS CABRERA,434241.0,4470643.0,17,2,3
6_5595,JUAN DEL ROSAL-DERECHO,438214.0,4478382.0,U,2,3
6_5596,JUAN DEL ROSAL-U.N.E.D.,437792.0,4478408.0,U,2,3
6_5597,PROFESOR GARCIA SANTESMASES-INFORMATICA,437900.0,4478518.0,U,2,3
6_5599,PASEO DEL MOLINO-PLAZA LEGAZPI,441163.0,4471559.0,"62, 148, N13",2,3
6_5851,GRAN VIA-HORTALEZA,440731.0,4474808.0,"2, 3, 46",1,0
6_5849,ALCALA-SEVILLA,440901.0,4474648.0,"2, 5, 15, 20, 53, 150",1,0
6_5773,CEMENTERIO SUR-SECCION 6-E,438536.0,4469081.0,SE702,1,0
